ID,Answer
TEST_000,1
TEST_001,2
TEST_002,1
TEST_003,3
TEST_004,"트로이 목마(Trojan) 기반 원격제어 악성코드(Remote Access Trojan, RAT)는 사용자의 컴퓨터에 무단으로 접근하여 비밀번호나 중요한 정보를 유출하거나, 악성 코드를 추가로 설치하는 등의 행위를 할 수 있습니다. 주요 탐지 지표로는 이상한 프로세스 실행, 네트워크 통신 증가, 불필요한 프로그램 설치 또는 삭제, 그리고 사용자가 알지 못한 데이터 손실 등이 있습니다. 이러한 징후들은 시스템 모니터링 및 보안 프로그램을 통해 탐지될 수 있으며, 이를 통해 악성코드 감염 여부를 확인할 수 있습니다."
TEST_005,4
TEST_006,2
TEST_007,"전자금융거래법에 따르면, 개인정보와 관련한 분쟁의 조정을 원하는 자는 분쟁조정위원회에 분쟁조정을 신청할 수 있습니다. 이때, 분쟁조정위원회는 당사자 일방으로부터 분쟁조정 신청을 받았을 때에는 그 신청내용을 상대방에게 알려야 합니다. 또한, 개인정보처리자가 이러한 통지를 받은 경우에는 특별한 사유가 없으면 분쟁조정에 응해야 합니다."
TEST_008,5
TEST_009,3
TEST_010,1
TEST_011,4
TEST_012,3
TEST_013,4
TEST_014,5
TEST_015,4
TEST_016,1
TEST_017,4
TEST_018,1
TEST_019,1
TEST_020,4
TEST_021,1
TEST_022,3
TEST_023,5
TEST_024,2
TEST_025,3
TEST_026,3
TEST_027,3
TEST_028,1
TEST_029,1
TEST_030,3
TEST_031,3
TEST_032,1
TEST_033,1
TEST_034,1
TEST_035,2
TEST_036,5
TEST_037,4
TEST_038,5
TEST_039,4
TEST_040,1
TEST_041,5
TEST_042,3
TEST_043,5
TEST_044,4
TEST_045,1
TEST_046,3
TEST_047,1
TEST_048,1
TEST_049,4
TEST_050,1
TEST_051,3
TEST_052,3
TEST_053,4
TEST_054,4
TEST_055,4
TEST_056,1
TEST_057,2
TEST_058,3
TEST_059,2
TEST_060,4
TEST_061,4
TEST_062,4
TEST_063,5
TEST_064,1
TEST_065,3
TEST_066,1
TEST_067,1
TEST_068,4
TEST_069,4
TEST_070,4
TEST_071,3
