id,question,type,batch,temperature
1,"개인정보의 훼손, 멸실, 변경, 위조, 유출, 누설로부터 안전을 확보하기 위해 필요한 조치와 관련된 법령 규정과 그 목적은 무엇인가?",definition,1,0.1
2,의료기관이 정보주체의 동의 없이 개인 정보를 추가적으로 제공가능한 경우 해당 제공 목적은 당초 수집 목적과 어떠해야 하는지 설명해주세요?,definition,1,0.1
3,"개인정보관리 전문기관이란 어떤 기관이며, 그 주요 업무와 지정 요건은 무엇인지 간단히 설명해 주십시오?",definition,1,0.1
4,접근통제와 관련하여 개인정보 처리자가 수행해야 하는 의무는 무엇인지 간단히 설명해주세요?,definition,1,0.1
5,표준 개인정보 보호지침에서 말하는 '개인정보 처리방침'이란 무엇이며 그 중요성을 설명해주세요?,definition,1,0.1
6,특별법과 일반적인 개인정보 보호법 사이에서 우선적으로 적용되는 법령은 무엇인가?,definition,1,0.1
7,개인정보 처리방침을 변경해야 할 때 이를 어떻게 공개하고 정보주체들이 쉽게 이해하도록 해야 하는지를 설명해주세요.?,definition,1,0.1
8,"""진료정보""는 무엇을 의미하며 어떠한 형태로 관리되며 누가 이를 생성하고 이용하나?",definition,1,0.1
9,"RBC 비율이란 무엇이며, 이 지표를 통해 은행들이 어떻게 자금 관리를 할 수 있는지를 설명해주세요?",definition,1,0.1
10,개인정보의 목적 외 이용과 제공에 대한 법정처벌은 어느 정도일까요?,definition,1,0.1
11,"정보주체가 자신의 개인정보와 관련된 열람, 전송, 정정삭제 등을 요청하기 위해 사용 가능한 방법과 절차는 어떻게 되며, 이 과정에서 대리인이 이용될 수 있는 경우는 어떤 것들이 있습니까?",definition,1,0.1
12,개인정보보호법에서 개인 정보의 열람을 요구했을 때 열람을 연기하거나 거절해야 하는 상황과 이를 통지해야 하는 기간은 어떻게 규정되어 있는지를 설명해주시겠습니까?,definition,1,0.1
13,개인정보 처리자가 정보주체로부터 동의 철회 통지를 받았을 경우 어떠한 조치를 취해야 하는지 설명해주시오?,definition,1,0.1
14,영상정보 처리와 관련하여 '목적외 이용'이란 무엇을 의미하며 어떠한 규제가 적용되는지를 설명하시오?,definition,1,0.1
15,개인정보 처리자가 수행하는 주요 업무와 그 이유는 무엇인가요?,definition,1,0.1
16,"""의료법"" 제21조 제3항 및 그 시행규칙에서 언급하는 '진료기록'에는 어떠한 정보들이 포함되는지를 설명해주세요? \u3000\u3000?",definition,1,0.1
17,"""공무원 연금과 재해보상을 위해 특정 공무원의 진료 내역을 확인하기 위한 절차는 어떠하며 이를 요구할 수 있는 당사자는 누구인가?""?",definition,1,0.1
18,"개인정보전송지원플랫폼이란 무엇이며, 그 목적과 주요 기능은 무엇인가?",definition,1,0.1
19,유동성 리스크가 무엇인지 그리고 이와 관련된 대응 방안들을 간단히 설명해주세요.?,definition,1,0.1
20,"유동성 함정이란 무엇이며, 이 현상이 경제적으로 어떠한 영향을 미치는지를 설명해주세요?",definition,1,0.1
21,수탁자가 정보주체로부터 개인정보 관련 민원을 접수하는 경우 그 민원을 처리하기 위해 어떠한 조치를 취해야 하는지를 설명하라?,definition,1,0.1
22,섹션이라는 구조적 요소는 문서에서 어떠한 역할을 하는가?,definition,1,0.1
23,의료 정보를 접근하기 위해 필요한 서류와 그 목적은 무엇인가?,definition,1,0.1
24,약국에서 개인 정보를 처리할 때 필요한 안전성 확보 조치는 무엇인지를 설명하시오?,definition,1,0.1
25,개인정보 처리 방법에 관한 고시에서 '열람 거절' 결정을 내릴 때 필요한 조건과 그 이유를 설명해 주십시오.?,definition,1,0.1
26,개인정보보호위원회가 정한 '대통령령으로 정하는 시설 및 기술 기준'을 충족하는 자는 누구이며 이러한 기준이 필요한 이유는 무엇인가?,definition,1,0.1
27,거액결제시스템이란 무엇이며 그 특징은 어떻게 되는지를 간단히 설명해주시겠어요?,definition,1,0.1
28,"고엽제 후유의증 환자의 지원과 관련하여, 법령에서 규정하는 의료기관의 장이 보훈병원장에게 제공해야 하는 서류와 그 목적은 무엇인가?",definition,1,0.1
